ax_lin,ay_lin,az_lin
-0.041500,0.116400,1.673400
-0.038900,0.103900,1.655500
-0.002900,0.103400,1.716400
-0.026800,0.100500,1.645800
0.028200,0.097600,1.616100
-0.031500,0.156700,1.615200
0.042500,0.151200,1.645300
-0.019700,0.136100,1.567900
0.028100,0.109200,1.605400
0.020800,0.134900,1.680700
0.039800,0.129500,1.593700
0.046700,0.162200,1.640500
0.041700,0.128000,1.603700
0.039100,0.094000,1.564700
0.034200,0.098300,1.556900
0.034000,0.138300,1.620600
0.060000,0.101900,1.533900
0.026400,0.151400,1.485700
0.038200,0.148300,1.528300
-0.007300,0.097500,1.504000
0.021300,0.130400,1.463100
-0.026500,0.096300,1.446300
-0.031100,0.126800,1.553400
-0.033300,0.092800,1.445600
-0.018800,0.087600,1.471700
-0.054500,0.082400,1.495300
-0.023200,0.113000,1.464000
-0.037400,0.105300,1.471000
-0.053900,0.085700,1.494600
-0.015500,0.075700,1.437100
0.015500,0.151600,1.444200
0.027400,0.127000,1.425100
-0.010900,0.143000,1.425100
0.024900,0.111400,1.394100
0.060500,0.170400,1.425300
0.019700,0.145700,1.434900
0.081600,0.154500,1.363300
0.057300,0.160900,1.416100
0.035600,0.145800,1.442400
0.042600,0.137900,1.416100
-0.000500,0.108600,1.351800
0.044700,0.103300,1.392700
0.008800,0.143300,1.366700
-0.024600,0.083000,1.393200
-0.007800,0.085000,1.269500
-0.067400,0.084500,1.372800
-0.045600,0.100800,1.292000
-0.023900,0.071700,1.345200
-0.076200,0.080900,1.314600
-0.078200,0.080500,1.336600
-0.058800,0.082400,1.289400
-0.041800,0.041500,1.283000
-0.063000,0.100900,1.271800
-0.055600,0.145700,1.320200
0.018600,0.092500,1.285000
-0.026800,0.115900,1.264300
0.004300,0.127200,1.167400
0.054400,0.114700,1.273600
0.011200,0.126000,1.231500
0.049300,0.123000,1.296800
0.089500,0.108100,1.237900
0.053300,0.095600,1.236500
0.076900,0.102300,1.254100
0.074100,0.099400,1.162100
0.033300,0.132300,1.292100
0.066400,0.114900,1.159300
0.035100,0.097700,1.158300
0.018300,0.054300,1.174000
0.008700,0.096900,1.232400
-0.046200,0.067800,1.188200
-0.041200,0.012700,1.146500
-0.036200,0.065000,1.126400
-0.064600,0.038500,1.168500
-0.064300,0.062100,1.143600
-0.025900,0.045100,1.173600
-0.028100,0.104500,1.165300
-0.047000,0.099200,1.192900
-0.032500,0.096300,1.144000
-0.006100,0.079200,1.102500
0.003400,0.109800,1.097000
0.051100,0.125900,1.079600
0.060300,0.077600,1.129000
0.045700,0.129600,1.206800
0.105100,0.100400,1.117400
0.085500,0.073700,1.026000
0.080300,0.068500,1.087600
0.118000,0.087300,1.053600
0.098400,0.043900,1.131700
0.107400,0.086600,1.090300
0.028200,0.081400,1.058600
-0.021900,0.081000,1.074800
-0.040900,0.040100,1.052700
-0.062100,0.061300,1.114200
-0.064200,0.053900,1.068100
-0.075800,0.084600,1.007900
-0.151700,0.048400,0.995800
-0.103300,0.050600,1.019400
-0.100400,0.078900,1.050000
-0.102200,0.052300,0.980400
-0.135100,0.068700,1.023200
-0.089100,0.130300,0.929900
-0.064900,0.093900,0.970500
-0.002600,0.112500,1.001400
-0.005000,0.050000,1.006000
0.047500,0.130800,0.972300
0.018700,0.139700,1.029400
0.073400,0.169900,0.974200
0.077800,0.150000,0.974100
0.072600,0.106400,0.938300
0.103200,0.060600,0.957400
0.109900,0.107900,1.028900
0.099800,0.088300,0.928400
0.096900,0.068800,0.942800
0.055900,0.070900,0.985800
0.055600,0.027600,0.907000
0.045800,0.072700,0.935800
0.062300,-0.006300,0.962100
0.064300,0.022400,0.919200
0.016400,-0.008700,0.917000
-0.024200,0.034200,0.924300
-0.017000,0.024500,0.879200
-0.038300,-0.009000,0.958200
-0.011900,0.000600,0.955800
-0.004700,0.003000,0.936700
-0.028500,-0.001800,0.872400
-0.042700,0.038700,0.915700
0.002800,0.040900,0.906400
0.033800,0.038300,0.830400
0.028900,0.038100,0.895300
0.081100,0.080800,0.886100
0.092600,0.094700,0.812500
0.075500,0.072800,0.837100
0.120400,0.089100,0.849600
0.074500,0.067200,0.833400
0.088400,0.093100,0.757700
0.066600,0.066400,0.880300
0.004300,0.094700,0.809100
0.009000,0.060900,0.824100
-0.007700,0.053400,0.841500
-0.060100,0.105600,0.834900
-0.074100,0.069300,0.845000
-0.069000,0.057000,0.824100
-0.078200,0.099600,0.741300
-0.363700,-0.077200,0.754300
-0.123600,-0.048200,0.793400
-0.134900,0.059300,0.768000
-0.089000,0.128100,0.795200
-0.105200,0.051200,0.791200
-0.042700,0.084300,0.770500
-0.049600,0.088600,0.771500
-0.006500,0.097700,0.817600
-0.025500,0.094800,0.806400
0.000800,0.092000,0.730900
-0.023000,0.098700,0.767700
0.046200,0.067200,0.732900
0.041200,0.088300,0.755500
0.079100,0.087900,0.794600
0.088300,0.099300,0.783500
0.083100,0.041700,0.712800
0.066000,0.055700,0.697300
0.101400,0.072100,0.720100
0.053200,0.090900,0.716500
0.083900,0.107100,0.734300
0.047800,0.108900,0.778300
0.052300,0.139400,0.774400
-0.000400,0.052900,0.722900
0.035300,0.026400,0.764600
-0.026800,0.004800,0.715500
-0.005200,0.038200,0.719000
-0.012300,0.090400,0.708300
-0.036100,-0.034000,0.664200
0.095100,0.218800,0.746700
-0.093600,-0.003900,0.676300
-0.002600,0.022300,0.715800
-0.312300,1.902400,0.848000
-5.379500,-0.637900,4.027500
-1.608900,0.821300,-2.615100
-10.441900,5.538100,5.338300
-3.502700,10.531400,0.021200
-13.818100,2.645700,-5.855500
-6.030300,0.035000,-5.433000
-8.702500,-7.815000,9.811700
-6.959900,-0.896000,-12.403800
-14.732000,18.684600,-9.089000
-19.186100,-15.309500,9.870100
-7.980400,-12.053900,9.820800
-19.050200,-0.228600,-7.304600
-3.827400,3.421000,-26.570800
-10.406900,7.683900,-29.102200
-18.052100,5.293400,-27.629300
-15.516900,8.236200,-25.382200
-18.716000,1.372300,-21.149300
0.859000,-8.531300,-9.114000
-18.626700,-18.916800,6.254600
12.224400,-13.870300,8.468100
8.715000,-14.179900,7.343900
-18.638300,-14.747600,10.392600
-18.545100,1.416400,10.340600
-18.452300,6.945200,-15.302000
