Time,X,Y,Z
0.0,0.641659,-1.478267,0.598803
0.004,0.641659,-1.397494,0.972526
0.008,0.641659,-0.767137,0.472064
0.012,0.641659,-1.126469,0.58959
0.016,0.641659,-0.811623,0.582563
0.02,0.641659,-1.050502,0.683391
0.024,0.641659,-1.179766,0.923211
0.028,0.641659,-1.066273,0.461111
0.032,0.641659,-0.030451,-0.05365
0.036000000000000004,0.641659,-4.643301,0.741509
0.04,0.641659,17.08325,-14.407513
0.044,0.641659,-13.468569,7.888422
0.048,0.641659,3.053573,-0.337525
0.052000000000000005,0.641659,-2.7242,1.015778
0.056,0.641659,-1.55356,0.7401
0.06,0.641659,-1.679645,1.827538
0.064,0.641659,-0.992023,0.201222
0.068,0.641659,0.437106,-0.668068
0.07200000000000001,0.641659,-1.2493,0.943891
0.076,0.641659,-1.60266,1.147589
0.08,0.641659,-0.893732,0.544343
0.084,0.641659,-0.93562,0.551922
0.088,0.641659,-1.163938,0.74633
0.092,0.641659,-1.112678,0.569484
0.096,0.641659,-0.553938,0.473975
0.1,0.641659,0.133025,-0.763827
0.10400000000000001,0.641659,1.150859,-0.526683
0.108,0.641659,-2.171165,1.948469
0.112,0.641659,0.177399,0.032471
0.116,0.641659,-1.078061,0.931048
0.12,0.641659,-0.962081,0.538567
0.124,0.641659,-0.712779,0.526791
0.128,0.641659,-0.806163,0.548721
0.132,0.641659,-0.634656,0.656936
0.136,0.641659,-1.492043,1.10803
0.14,0.641659,-0.729014,0.7538
0.14400000000000002,0.641659,-0.390038,0.339776
0.148,0.641659,-0.807632,0.766699
0.152,0.641659,-0.705576,0.590096
0.156,0.641659,-0.5139,0.552474
0.16,0.641659,-0.864036,0.706772
0.164,0.641659,-0.748254,0.726735
0.168,0.641659,-0.446389,0.399188
0.17200000000000001,0.641659,-0.953256,0.718585
0.176,0.641659,-0.669148,0.639987
0.18,0.641659,-0.515065,0.587712
0.184,0.641659,-0.653635,0.643319
0.188,0.641659,-0.517431,0.639029
0.192,0.641659,-0.601174,0.678005
0.196,0.641659,-0.579592,0.67388
0.2,0.641659,-0.54543,0.629084
0.20400000000000001,0.641659,-0.644576,0.718476
0.20800000000000002,0.641659,-0.609782,0.668962
0.212,0.641659,-0.464233,0.73896
0.216,0.641659,-0.64317,0.641543
0.22,0.641659,-0.661411,0.606432
0.224,0.641659,-0.470948,0.674034
0.228,0.641659,-0.533098,0.72017
0.232,0.641659,-0.501905,0.648957
0.23600000000000002,0.641659,-0.483154,0.59928
0.24,0.641659,-0.490771,0.645406
0.244,0.641659,-0.512369,0.646062
0.248,0.641659,-0.429821,0.617904
0.252,0.641659,-0.46867,0.683209
0.256,0.641659,-0.431357,0.640713
0.26,0.641659,-0.434277,0.660528
0.264,0.641659,-0.413533,0.658776
0.268,0.031599,-0.41467,0.661798
0.272,0.035057,-0.436955,0.65049
0.276,0.064476,-0.400681,0.675014
0.28,0.032592,-0.353486,0.634801
0.28400000000000003,0.022673,-0.401279,0.668902
0.28800000000000003,0.007925,-0.380075,0.70537
0.292,0.040182,-0.347249,0.698699
0.296,0.022369,-0.35739,0.732762
0.3,-0.01652,-0.350428,0.62555
0.304,0.06752,-0.371756,0.616571
0.308,0.020862,-0.312857,0.684143
0.312,0.0269,-0.339749,0.660744
0.316,0.021137,-0.288682,0.692347
0.32,0.0412,-0.306975,0.688033
0.324,0.06589,-0.270581,0.659737
0.328,0.066555,-0.317342,0.703352
0.332,0.043627,-0.31608,0.648787
0.336,0.063471,-0.307846,0.725932
0.34,0.059323,-0.306684,0.616278
0.34400000000000003,0.097444,-0.270282,0.669425
0.34800000000000003,0.043167,-0.276851,0.650741
0.352,0.053457,-0.271733,0.687121
0.356,0.030785,-0.266671,0.737872
0.36,0.053285,-0.273431,0.716786
0.364,0.077396,-0.268355,0.635811
0.368,0.058845,-0.214026,0.652943
0.372,0.07128,-0.238403,0.718005
0.376,0.078706,-0.288242,0.696929
0.38,0.081604,-0.2358,0.675791
0.384,0.088933,-0.233979,0.692945
0.388,0.12433,-0.236848,0.69813
0.392,0.062723,-0.213675,0.660185
0.396,0.077423,-0.219359,0.658155
0.4,0.05876,-0.227191,0.725607
0.404,0.061731,-0.248798,0.62786
0.40800000000000003,0.048231,-0.208997,0.649787
0.41200000000000003,0.074761,-0.191595,0.709951
0.41600000000000004,0.133844,-0.148236,0.640742
0.42,0.043873,-0.192658,0.677006
0.424,0.037827,-0.208093,0.655816
0.428,0.036429,-0.223206,0.742433
0.432,0.072721,-0.176998,0.704414
0.436,0.033113,-0.194978,0.709559
0.44,0.100139,-0.165314,0.633241
0.444,0.07638,-0.200098,0.710227
0.448,-0.01015,-0.16584,0.655464
0.452,0.034134,-0.174727,0.698887
0.456,0.030719,-0.127102,0.720662
0.46,0.05547,-0.143619,0.711349
0.464,0.016175,-0.167023,0.699677
0.468,0.038817,-0.178219,0.714372
0.47200000000000003,-0.000271,-0.163342,0.683539
0.47600000000000003,0.05321,-0.139248,0.69338
0.48,0.037513,-0.174549,0.727222
0.484,0.087782,-0.166828,0.703567
0.488,0.0643,-0.152231,0.67749
0.492,0.057667,-0.130761,0.660963
0.496,0.056053,-0.128675,0.668367
0.5,0.068583,-0.117213,0.723647
0.504,0.059671,-0.206606,0.554016
0.508,0.081484,-0.134338,0.604601
0.512,0.09575,-0.127534,0.681447
0.516,0.128562,-0.139643,0.691253
0.52,0.043444,-0.156212,0.737035
0.524,0.142995,-0.113661,0.636623
0.528,0.092844,-0.139969,0.641667
0.532,0.059982,-0.104584,0.646654
0.536,0.091184,-0.11922,0.699566
0.54,0.105366,-0.096144,0.694933
0.544,0.081787,-0.129954,0.616121
0.548,0.126625,0.032006,0.764512
0.552,0.118386,-0.117301,0.623362
0.556,0.094718,-0.103365,0.693024
0.56,0.036043,-0.146059,0.583159
0.5640000000000001,0.114999,-0.056276,0.676686
0.5680000000000001,0.076464,-0.032535,0.813178
0.5720000000000001,0.130819,-0.142381,0.679336
0.5760000000000001,0.059614,-0.130584,0.722685
0.58,0.029758,-0.102232,0.677404
0.584,0.067985,-0.060958,0.677463
0.588,0.045071,-0.217248,0.677915
0.592,0.072133,-0.069715,0.579878
0.596,0.041793,-0.083034,0.735673
0.6,0.082721,-0.079366,0.68312
0.604,0.085207,-0.036078,0.73583
0.608,0.073663,-0.073637,0.70478
0.612,0.059779,-0.056609,0.779058
0.616,0.081403,-0.0887,0.678623
0.62,0.119177,-0.054875,0.695413
0.624,0.083512,-0.108548,0.638087
