time,ax_lin,ay_lin,az_lin
0.000000,-0.119502,0.122906,0.888580
0.040000,-0.126497,0.184910,0.843173
0.080000,-0.094537,0.208230,0.850478
0.120000,-0.044661,0.249083,0.819549
0.160000,-0.042799,0.271607,0.886863
0.200000,-0.027769,0.252227,0.901459
0.240000,-0.004056,0.265650,0.865933
0.280000,-0.047887,0.238179,0.842357
0.320000,0.044927,0.283431,0.787655
0.360000,0.067743,0.289582,0.814561
0.400000,0.071106,0.264894,0.779101
0.440000,0.087439,0.322751,0.887463
0.480000,0.089618,0.375558,0.847425
0.520000,0.068754,0.291971,0.788169
0.560000,0.175018,0.298915,0.846463
0.600000,0.161311,0.319599,0.823190
0.640000,0.166288,0.331842,0.878840
0.680000,0.167514,0.383789,0.802894
0.720000,0.241964,0.273639,0.751075
0.760000,0.202519,0.330338,0.768732
0.800000,0.234447,0.370862,0.796124
0.840000,0.252922,0.358183,0.775608
0.880000,0.298186,0.384260,0.771926
0.920000,0.298411,0.334212,0.818035
0.960000,0.300532,0.357183,0.833065
1.000000,0.310061,0.394609,0.896103
1.040000,0.346544,0.368523,0.774628
1.080000,0.352298,0.405031,0.888080
1.120000,0.348439,0.409819,0.836543
1.160000,0.350429,0.345254,0.861207
1.200000,0.362310,0.395164,0.876314
1.240000,0.425171,0.458608,0.815139
1.280000,0.455562,0.429678,0.854478
1.320000,0.412795,0.375532,0.891202
1.360000,0.413720,0.409078,0.846375
1.400000,0.487584,0.445001,0.906899
1.440000,0.499970,0.428470,0.833626
1.480000,0.506738,0.448518,0.863419
1.520000,0.535347,0.410295,0.854818
1.560000,0.508211,0.457934,0.844126
1.600000,0.574031,0.451935,0.864197
1.640000,0.506315,0.417894,0.845850
1.680000,0.551622,0.454558,0.863159
1.720000,0.570224,0.425833,0.883068
1.760000,0.544067,0.467868,0.859892
1.800000,0.549115,0.445846,0.824717
1.840000,0.571821,0.474349,0.847271
1.880000,0.606403,0.443884,0.850661
1.920000,0.604958,0.462983,0.777238
1.960000,0.608203,0.482647,0.823213
